edition	rid	surface	current_ref	decision_ref
Adat-Zadikim	Adat-Zadikim#1	זלאטשוב	H-LOC_402	H-LOC_398
Adat-Zadikim	Adat-Zadikim#2	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#1	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#2	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#3	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#4	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#5	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#6	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Hasidim	Khal-Hasidim#7	זלאטשוב	H-LOC_402	H-LOC_398
Khal-Kdoshim	Khal-Kdoshim#1	ווינצי	H-LOC_610	H-LOC_215
Maasiot-veSihot-Zadikim	Maasiot-veSihot-Zadikim#1	זלאטשוב	H-LOC_402	H-LOC_398
Mifalot-HaZadikim	Mifalot-HaZadikim#1	זלאטשוב	H-LOC_402	H-LOC_398
Mifalot-HaZadikim	Mifalot-HaZadikim#2	זלאטשוב	H-LOC_402	H-LOC_398
Sefer-Moraim-Gdolim	Sefer-Moraim-Gdolim#1	זלאטשוב	H-LOC_402	H-LOC_398
Sipurei-Zadikim	Sipurei-Zadikim#1	זלאטשוב	H-LOC_402	H-LOC_398
Sipurim-Nehmadim	Sipurim-Nehmadim#1	זלאטשוב	H-LOC_402	H-LOC_398
Sipurim-Nehmadim	Sipurim-Nehmadim#2	זלאטשוב	H-LOC_402	H-LOC_398
Smichat-Moshe	Smichat-Moshe#1	זלאטשוב	H-LOC_402	H-LOC_398
Smichat-Moshe	Smichat-Moshe#2	זלאטשוב	H-LOC_402	H-LOC_398
Smichat-Moshe	Smichat-Moshe#1	מאהלוב	H-LOC_70	H-LOC_449
Smichat-Moshe	Smichat-Moshe#2	מאהלוב	H-LOC_70	H-LOC_449
tmimei_derech	tmimei_derech#1	זלאטשוב	H-LOC_402	H-LOC_398
tmimei_derech	tmimei_derech#2	זלאטשוב	H-LOC_402	H-LOC_398
tmimei_derech	tmimei_derech#3	זלאטשוב	H-LOC_402	H-LOC_398
tmimei_derech	tmimei_derech#4	זלאטשוב	H-LOC_402	H-LOC_398
