decision,notes,tag,story_id,story_url,hebrew_extract,why_suggested,edition,confidence
confirm,,kabbalah:kabbalistic_terms_kavvanot,Shivhei-Habesht_0197,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0197,מעשה הי' שהרב המוכיח מוה' ארי׳ ליב מפולנאה חשקה נפשו מאוד ללמוד חכמת שיחת בהמות ועופות ושיחת דקלים מצד שנצרך לו זה לתוכחה ומאחר…,"The story explicitly depicts the Baal Shem Tov 'מיחד יחודים' (performing yichudim/kavvanot) with his face burning like torches, a classic Lurianic mystical practice.",Shivhei-Habesht,high
confirm,,kabbalah:kabbalistic_terms_kavvanot,Shivhei-Habesht_0203,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0203,ויען הבעש״ט האיך אפשר להיות שקר והלא אתה התענית ע״ז פ' תעניות והוכרח להודות לו ובכה לפניו שיעזור לו ויאמר לו כי רפואתו הוא שלא…,"The story explicitly discusses kavvanot in Shema Yisrael (כוונה בשמע ישראל) as a mystical practice, with the Besht diagnosing a spiritual blockage during kavvanah and prescribing remedy.",Shivhei-Habesht,high
confirm,,kabbalah:kabbalistic_terms_kavvanot,Khal-Hasidim_0009,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0009,"פ""א בא לעיר והיתה שם אשה משוגעת והיתה מגלה לכל א""וא תועבותיו וטובותיו וכשבא לעיר הבעש״ט זלה""ה ביקש ר' גרשון הנ""ל מהרב החסיד הקדוש…","The story explicitly references the Besht being warned from heaven not to engage with the Holy Names (שמות הקדושים) until age 33, a clearly Lurianic/kabbalistic practice tied to kavvanot.",Khal-Hasidim,high
confirm,,kabbalah:kabbalistic_terms_kavvanot,Shivhei-Habesht_0208,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0208,"שמעתי כשמתה אשתו של הבעש״ט אמרו לו אנשיו וב""ג שישא אשה אחרת והשיבם הבעש""ט בלשון תימה לאשה אני צריך אני הייתי פרוש י""ד שנה במטה…","The Besht teaches his son a divine name and instructs him to meditate on it (תכוון שם זה), an explicit kabbalistic kavvanah; also references sod ha-ibbur and bringing down Adam's soul during intercourse.",Shivhei-Habesht,high
confirm,,kabbalah:kabbalistic_terms_kavvanot,Mifalot-HaZadikim_0018,https://www.hasidic-stories.org/Story/Mifalot-HaZadikim/Mifalot-HaZadikim_0018,וכל כוונתו היה להכניס בהם שום הרהור גדלות אמנם הבעש״ט לא קם ולא זע ממנו ולא נכנסו דבריו באזניו כלל אבל הרב מוה׳ ליב הנ״ל התחיל…,The Baal Shem Tov explicitly 'worked with holy names' (עשה בשמות הקדושים) — a Lurianic kavvanot practice involving mystical intentions on divine names.,Mifalot-HaZadikim,high
confirm,,kabbalah:kabbalistic_terms_kavvanot,Khal-Hasidim_0028,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0028,"ואח״כ הלך לבה""מד ואמר עוד דברי כבושים והתפללו כל נדרי ואמר אחר כל נדרי כי הקיטרוג הולך ומתחזק והי׳ ממהר עי״ז כל הבעלי תפלות כדי…","The story explicitly notes that the Yom Kippur prayers ascended because they were prayed 'with kavvanah' (בכוונה), and depicts the Besht's mystical ascent through heichalot during Ne'ilah, consistent with Lurianic kavvanot in prayer.",Khal-Hasidim,high
confirm,,kabbalah:kabbalistic_terms_kavvanot,Khal-Hasidim_0118,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0118,"ויען הבעש״ט האיך אפשר להיות שקר והלא אתה התענית ע""ז פ׳ תענית והוכרח להודות לו ובכה לפניו שיעזור לו ויאמר לו כי רפואתו הוא שלא…","The story explicitly depicts a rabbi attempting to perform a kavvanah during Shema, with the Baal Shem Tov diagnosing his spiritual blockage and instructing him to try the kavvanah again after repenting.",Khal-Hasidim,high
confirm,,kabbalah:kabbalistic_terms_yihudim,Shivhei-Habesht_0203,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0203,"פ""א נסע הבעש״ט עם תלמידיו והוכרחו ללון ביער אמרו התלמידים התנמידים בבדיחותא נראה הסעודה שיעשה הרב לנו ויאמר הרב לכן ביום מחר אי""ה…","The story explicitly describes the Besht diagnosing the rabbi's contemplative kavvanot/yihudim in reciting Shema (a satan blocking his intended unification), a Lurianic-style mystical unification practice.",Shivhei-Habesht,high
confirm,,kabbalah:kabbalistic_terms_yihudim,Khal-Hasidim_0118,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0118,"פ""א נסע הבעש״ט עם תלמידיו והוכרחו ללון ביער אמרו התלמידים בבדיחותא נראה הסעודה שיעשה הרב לנו ויאמר הרב לכן ביום מחר אי""ה אעשה לכם…","The story centers on a kavvanah in Shema that a satanic force was blocking — a Lurianic-style contemplative unification practice, though the term yihud itself is not used.",Khal-Hasidim,medium
confirm,,kabbalah:kabbalistic_terms_yihudim,Mifalot-HaZadikim_0018,https://www.hasidic-stories.org/Story/Mifalot-HaZadikim/Mifalot-HaZadikim_0018,וכל כוונתו היה להכניס בהם שום הרהור גדלות אמנם הבעש״ט לא קם ולא זע ממנו ולא נכנסו דבריו באזניו כלל אבל הרב מוה׳ ליב הנ״ל התחיל…,"The Baal Shem Tov explicitly 'worked with holy Names' (עשה בשמות הקדושים) to extract a hidden secret from the Sitra Achra, a clear instance of kabbalistic yihudim/Name-unifications.",Mifalot-HaZadikim,high
confirm,,kabbalah:kabbalistic_terms_yihudim,Shivhei-Habesht_0187,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0187,איש א' הי' מהמקורבים אליו והי׳ דר בכפר והי׳ הרב מקרבו תמיד בכל מיני התקרבות ובימים נוראים הי\u0027 ה' אכסניאתו אכסניאותו בבית הרב…,"The story describes the Baal Shem Tov's 'aliyat neshama' during Friday minha — a contemplative ascent to upper heikhalot characteristic of Lurianic yihudim practice, though the specific term yihudim is not used.",Shivhei-Habesht,medium
